"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientEmail","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q2_20_TEXT","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18"
"2022-09-22 12:47:26","2022-09-22 12:54:31","100","425","True","2022-09-22 12:54:31","R_1ohRLtoLw76iFzt",NA,"37.8682","-122.2865","anonymous","EN","College Writing Programs R4B",NA,"To me, ""research"" is about delving deeper into certain subjects that we are interested in to uncover more information that fills in the gaps within the current understanding of the subjects. ","I would first read the research topic carefully and get a clear idea of what is required. I will then outline sources that I could possibly pull information from. I would then search it up on the Internet and take note of valid sources I may be able to use. ","A primary source is a source that provides authentic information, and is usually a widely-recognized, credit institution. ","A secondary source would be commentaries on primary sources. ","Clear","Unconfident","Unprepared","3-5","I think to succeed in college, we need to be able to be comfortable in constantly challenge our pre-existing knowledge to learn new information. ","Somewhat agree","I think creativity will help expand my horizons and truly allow me to pursue my passions. ","Somewhat agree","Discovery is important because it is part of a learning process. ","Somewhat agree","I think community is important in allowing for the exchange of diverse perspectives. ","Discovery experience means to be bold and brave to question status quo with the aim of uncovering new information. "
"2022-09-22 12:48:31","2022-09-22 12:55:11","100","399","True","2022-09-22 12:55:11","R_2QEY4HFakDbu7Dk",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"when research comes to mind, i think about being able to help a greater problem by finding smaller solutions to form a bigger idea.","i would first analyze the question, then brainstorm questions to form so I am able to research it, perform the research, make sure to site the sources and eventually take notes about the topic.","a credible source that is predominantly used for your topic.","a source that can be used to back up the primary source.","Clear","Confident","Unprepared","3-5","self worth, optimism, and potentiality.","Strongly agree","creativity is the stepping stone of all ideas.","Strongly agree","discovery will allow you to explore your hidden side of life.","Strongly agree","peer revisions and community allows criticism to proper embed itself within your head.","the journey you will take in order to fully immerse yourself in research."
"2022-09-22 12:47:55","2022-09-22 12:55:22","100","446","True","2022-09-22 12:55:22","R_7QaLT6fnRt2v9tf",NA,"37.8668","-122.2924","anonymous","EN","College Writing Programs R4B",NA,"When the word ""research"" comes to mind all I can think about is collecting and looking for ideas to apply to a bigger concept. We search our past and we create new ideas with the information.","I would come up with an idea, free-write everything I want to talk about, and go back and look for ideas and evidence I can use for those ideas. Search everywhere, videos, articles, books. Then take notes and include these ideas and evidence in the paper. Revise, revise, and revise.","A primary source is a source that comes from a person directly, relevant to the topic.","A secondary source is someone that took primary sources and combined them to get a new idea.","Clear","Unconfident","Unprepared","3-5","The will to face obstacles, struggle and get back up. College is a new environment, embrace it and work hard. But also academic strategies, like studying, research, do tests. ","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"We learn, we get to new areas and we wonder, we question the ideas, so we begin to explore more. "
"2022-09-22 12:50:48","2022-09-22 12:55:21","100","273","True","2022-09-22 12:55:22","R_2DTwkaNcjIrr9pL",NA,"37.8637","-122.276","anonymous","EN","College Writing Programs R4B",NA,"Asking a question, and set out to find an answer for it.","I would start searching online for at least some basic information on the topic. If I want to be more specific or want more credible sources, I would look into finding peer-reviewed materials. ","Records of historical events written by people involved in it.","Sources that analyse primary sources. ","Clear","Confident","Unprepared","1-2","Computer / Technology skills. ","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,NA
"2022-09-22 12:47:29","2022-09-22 12:55:39","100","490","True","2022-09-22 12:55:39","R_1NlTD8fvWxW9sXR",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Research is the act of diving deeper into a chosen topic to gain full knowledge and understanding of what’s at hand, whether it’s through the sources of others, or the analysis of my own actions.","First I would reread the topic to fully understand what I'm trying to find. Next, I would begin searching on google about what I want to find. Then, I would find other sources that have similar info and fact check my new information.","Primary source is information that comes first hand from books or text.","Secondary source is information that is repeated or reanalyzed by another person/source.","Clear","Confident","Unprepared","3-5","you must be motivated, have good habits, and good self-discipline.","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"It means to discover something within an experience."
"2022-09-22 12:47:59","2022-09-22 12:57:02","100","543","True","2022-09-22 12:57:03","R_3qlMY4h3eob5gJT",NA,"51.4863","-0.101","anonymous","EN","College Writing Programs R4B",NA,"If I were to define research, I would say it means looking up details about a specific topic one is not familiar with. ","I would google scholarly articles about the topic and write a paper talking about the pros and cons of it.","A source that comes from someone who experienced the event firsthand.","A source from someone who wrote about an event from what they heard from someone who experienced that.","Unclear","Unconfident","Very Prepared","3-5","Communication. Being able to confidently and well-roundedly convey your thoughts.","Somewhat agree",NA,"Strongly agree",NA,"Strongly agree",NA,"Being able to understand points from different perspectives."
"2022-09-22 12:48:00","2022-09-22 12:57:24","100","563","True","2022-09-22 12:57:25","R_2v5I1XEK6L0m72i",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Connecting the ""dots"" of knowledge to form a broader web of knowledge and ideas. ","I would first go on Google and look up credible sources and articles (either default search or Google Scholar/ResearchGate etc). Then I would select a few of them that fits my research needs and try to formulate an outline/mindmap as I go through them. Then I would start to compose the initial draft. ","First-hand data and discovery","second-hand data and discovery obtained via some external or media source (e.g. previously conducted research project)","Very Clear","Confident","Prepared","6-8","Passion, determination, hard-working, questioning the status quo, internal motivation, being a student always, creativity, independent thinking, confidence. ","Strongly agree","We need creativity to be able to Change things for the better. ","Strongly agree","Discovery brings people enlightenment and keeps everyone motivated. It is the sort of internal power that drives people forward. ","Strongly agree",NA,"The ""wow"" moment. "
"2022-09-22 12:49:17","2022-09-22 12:59:57","100","640","True","2022-09-22 12:59:57","R_3k7dQhcCccghgeM",NA,"37.8919","-122.2636","anonymous","EN","College Writing Programs R4B",NA,"I think of “research” as a multi-step, cyclical process that begins with defining a question and aims to reach an answer supported by reasoning and credible evidence—although the process doesn’t necessarily end there. I have taken several research classes in both high school and college.","1. Search by key terms in the Berkeley library system, expanding or narrowing my search criteria as necessary until I found a manageable amount of sources on my topic.
2. Look at the sources online or get them from the library.
3. If those sources weren't sufficient, search in other databases. I would probably use google scholar since that's easy to access.","A primary source is something that does not involve the opinions or analysis of anyone who wasn't directly experiencing an event/phenomenon/etc. - for example, a journal.","A secondary source contains opinions and analysis from someone who wants to put the subject of the source in context and was not directly involved at/with the source.","Clear","Confident","Prepared","1-2","Being open to new information and experiences. Enthusiasm for learning, or at least for something that comes as a result of learning. Balance between motivation and self-care.","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"I haven't heard this specific phrase before, but it reminds me of the research process - looking for information while being open to finding unexpected/unfamiliar results."
"2022-09-22 16:15:20","2022-09-22 16:21:01","100","341","True","2022-09-22 16:21:01","R_3qwzfByHkyHwTOu",NA,"37.8657","-122.2571","anonymous","EN","French 146A",NA,"Reading and writing a lot","1.) look it up online and find best sources 
2.) read those sources and find most important info 
3.) summarize then analyze info ","something directly from period you're studying. if you're studying WW2 and you find a letter from a soldier talking about a battle he was in, that's a primary source ","something written long after the period you're studying. it's usually written by scholars and reflecting on most important developments of certain period ","Clear","Confident","Prepared","3-5","persistence, knowing how to use internet, ability to reach out when you need help","Strongly agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"an experience that allows you to explore and learn about more things, that will in turn make it a valuable experience for you "
"2022-09-22 09:48:13","2022-09-22 21:09:02","100","40848","True","2022-09-22 21:09:02","R_1rqfbvIvwdgzgSb",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I think of research I think of getting background a basic understanding of a topic of interest to then build off of. For example, a chemist may want to understand the characteristics of a substance and use that research to then form a hypothesis to then create an experiment.","To start just use google scholar to find 1-2 papers about a particular topic. I may use Wikipedia to understand what the topic is. I would sort out papers until there is one I can understand and through trial and error find those that mostly help me with the topic in question.","A primary source is a source written at the time by the person or people in question or at the event. Such as a diary or a video.","A secondary source is a source written or interpreted by another individual. For example a newspaper article or magazine. ","Unclear","Unconfident","Unprepared","1-2","To succeed in college being able to efficiently analyze and sort through data is necessary to succeed. This can help with assignments but most importantly nothing happens in a vacuum and understanding what someone else is saying makes you better able to conduct arguments that make an impact. Time management is essential. ","Neither agree nor disagree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"Discovery experience means the passion you feel when you fall down the rabbithole of a topic of interest."
"2022-09-24 10:17:16","2022-09-24 10:17:56","100","39","True","2022-09-24 10:17:56","R_2fwYaypEfbecfLk",NA,"37.8637","-122.276","anonymous","EN","Japanese 1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-09-24 10:39:36","2022-09-24 10:46:14","100","398","True","2022-09-24 10:46:15","R_31KJcFUbdKBQjDI",NA,"37.8736","-122.257","anonymous","EN","Japanese 1A",NA,"cutting- edge discoveries. The brink of the unknown. ","Research existing related studies. 
Design an experiment/field study.
Carry out the study.
Collect and analyse results.","First-hand information.","Second-hand information.","Clear","Confident","Prepared","3-5","a clear goal and determination.","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"discovering myself and my identity through my interaction with and exploration of the world."
"2022-09-24 15:41:01","2022-09-24 15:45:32","100","271","True","2022-09-24 15:45:32","R_2Vjpz21ndwvqa1r",NA,"34.0544","-118.2441","anonymous","EN","Japanese 1A",NA,"Research papers","Look up information online/ask those who are more knowledgeable about the subjecr","Source that makes original claims","Sources that reference primary sources","Unclear","Unconfident","Unprepared","3-5","The ability to persevere, be proactive, get along with people, and have a good work ethic","Neither agree nor disagree",NA,"Strongly agree",NA,"Somewhat agree",NA,"The experience of discovering something new"
"2022-09-24 12:03:12","2022-09-24 15:48:48","100","13535","True","2022-09-24 15:48:48","R_bK66yUTIblls9bz",NA,"37.8371","-122.2773","anonymous","EN","Japanese 1A",NA,"drawing a conclusion about a hypothesis through collected data","review current literature on the topic -> formulate hypothesis -> design experiment/survey -> recruit participants -> administer experiment/survey -> code data -> review findings","personal experience, accounts from people who experienced events first hand (journal entry with personal account of event, video of event)","some other person writing about a primary source (an article reviewing an event that happened)","Clear","Unconfident","Unprepared","0","independence, incentive, curiosity, open-mindedness, diligence","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"trying new things and going beyond your comfort zone"
"2022-09-24 17:57:42","2022-09-24 18:02:00","100","257","True","2022-09-24 18:02:00","R_3lzzqnI72Jeux0h",NA,"37.8906","-122.2936","anonymous","EN","Japanese 1A",NA,"Studying existing data and/or gathering data about a new concept. Compiling the findings into a shareable format","I would research online, compile my findings, and put them into a paper. If there was missing data and I had the resources, I would plan and conduct an experiment or observational study to acquire that data.","A primary source is a firsthand report of the data.","A secondary source is a source of information by someone who did not experience the collection of the data. ","Clear","Confident","Prepared","1-2","I think that perseverance is necessary to succeed in college.","Somewhat agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"It means an experience that helps me discover more about myself or the world around me."
"2022-09-24 20:24:34","2022-09-24 20:31:40","100","425","True","2022-09-24 20:31:41","R_2zPkOWl8Dp0GlxG",NA,"36.0008","-83.4233","anonymous","EN","Japanese 1A",NA,"To learn about a topic in depth","I would search to find as much data as i can about the topic, then i would sort out the important evidence that is essential to explaining the topic or question.","The internet","experience ","Clear","Confident","Prepared","6-8","Time management, determination, and desire to achieve something.","Somewhat agree",NA,"Somewhat disagree",NA,"Somewhat agree",NA,"Using research to find out more about and topic and see it occur first hand."
"2022-09-24 21:32:00","2022-09-24 21:49:34","100","1053","True","2022-09-24 21:49:34","R_3h3aB0MSCqtv5iH",NA,"33.9764","-117.3341","anonymous","EN","Japanese 1A",NA,"Discovering new things via specific methods in which effort is applied to make these new discoveries and otherwise improve knowledge of the respective entity.","I would first look up the topic/question on the internet and spend a moment reading what has already been said about it. Then, after I got myself somewhat familiar or comfortable with the basic information, I would select and pursue a few reliable, trusted, pointed sources, which I would then annotate, analyze, and otherwise extract the desired information in my research endeavor from.","A primary source is a source that comes directly from someone who either is or was directly involved with the topic of interest. For example, a primary source about a battle in the Iraq War might be a general or soldier who was on the ground in Iraq and involved in that specific battle, and was therefore directly involved with the topic of interest.","A secondary source is a source that discusses, dissects, and handles primary sources. For example, if someone who did not have on-the-ground war experience wrote a book about the Iraq War in which they studied primary sources and cited them throughout as they constructed a certain historical narrative, they would be creating a secondary source.","Very Clear","Confident","Prepared","3-5","Confidence in oneself and knowledge of your own abilities. A desire to improve on your own abilities, which can only be properly done if one actually has a legitimate understanding of their own abilities, is also imperative.","Strongly agree","Creativity is key if one wishes to produce new ideas and move forward into the future.","Strongly agree","Discovery is why we are here. We are here to learn and discover new things.","Strongly agree","Humans are social animals. Socializing and community engagement uplifts and greatly enhances our experience.","It means the exhilarating and exciting journey of learning and discovering new things about the world, other people, and ourselves in a safe, welcoming environment."
"2022-09-25 12:30:15","2022-09-25 12:41:37","100","682","True","2022-09-25 12:41:38","R_1mQNXom5aj1VBvg",NA,"37.8736","-122.257","anonymous","EN","Japanese 1A",NA,"Learning about Kanji that I have never learned before. ","I would use google to find articles about the subject, watch youtube videos, and ask my Japanese friend.","A primary source is the source material, the original. ","A secondary source is an edited work or when someone did not witness it but still wrote about the event.","Clear","Unconfident","Unprepared","0","Knowing how to balance time, be independent, and when to say no. ","Strongly agree","Creativity is in everything, the way you write, dress, speak, etc. I like to try my best to be creative in everything I do. ","Strongly agree","Discovering different ideas, cultures, backgrounds, and what I want to focus on in life is very important to me. ","Strongly agree","Engaging with the community is a great way to strengthen bonds as well as a way to make yourself feel good. ","To me, ""Discovery experience,"" means trying things new and discovering new experiences. There are so many activities always going on so it is very important to keep searching and going out there. "
"2022-09-26 00:30:41","2022-09-26 00:43:20","100","758","True","2022-09-26 00:43:20","R_bq0uIXcqAYJIXnj",NA,"37.8657","-122.2571","anonymous","EN","Japanese 1A",NA,"The study of a topic in a certain subject's field.","1. Examine the background and current available information that has been previously researched about the topic.
2. Begin discovering what exact goal I wish to accomplish based on what I have learned.
3. Start the process of researching through interviews, books, and previous theses.","A primary source is the original material in which a text was written in.","A secondary source is the material which references the primary source and uses it in their text to support their idea.","Clear","Confident","Prepared","6-8","I think a persistent and focused mindset is important. Otherwise, a person is easy to give up on assignments and wanting to learn more about something.","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"The discovery experience means the process of discovering something. Whether that be on your own or with another person."
"2022-09-27 15:08:39","2022-09-27 15:22:40","100","840","True","2022-09-27 15:22:40","R_1EWmpwVBjF88XJm",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Reading articles, research papers, data, and statistics to learn more about a particular topic","I would try to gain background information by reading as much as possible about the topic, and then find sources that are as free from bias as possible to obtain objective data.","A firsthand account, such as eye witness testimony.","A source that analyzes or builds upon the accounts of others","Clear","Confident","Unprepared","0","Hard work, diligence, responsibility, determination, good study habits.","Somewhat agree",NA,"Neither agree nor disagree",NA,"Neither agree nor disagree",NA,"No meaning"
"2022-09-27 15:19:08","2022-09-27 15:22:43","100","215","True","2022-09-27 15:22:44","R_1jUOTDruU2Kj2M3",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"I think about finding solutions to problems.","First I would find a problem, make a hypothesis, conduct trials, and develop a model.","A source that is the main mode of information.","A source that is not the main mode of information but is still used.","Clear","Confident","Prepared","9-10","You need to be able to be good at looking for information. You also need to be good at writing.","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"Discovery means to find out what interests you and what you are passionate about."
"2022-09-27 15:19:31","2022-09-27 15:22:44","100","193","True","2022-09-27 15:22:45","R_3xeDlSgskneehDX",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"I think of laboratory or field work that is generally scientific. For classes like chemistry, I imagine a lab. For classes like history, I imagine reading books and papers to conclude ideas.","I would use the internet primarily, googling and looking for books or other resources.","A piece of evidence written during the time period about a specific person/event which is not summarizing another source. ","A source that describes another event or source from an outside perspective. ","Unclear","Unconfident","Unprepared","1-2","Having the knowledge to take advantage of research opportunities, especially knowing how to take the first few steps. ","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"An opportunity to discover either academic topics or yourself. "
"2022-09-27 15:08:28","2022-09-27 15:23:06","100","878","True","2022-09-27 15:23:07","R_sdSYzQUlbi863FT",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"I think about joining a lab and working with a GSI/professor to assist the in their research. This is most of STEM research, which includes doing lab work and assisting with computation. 

Research can also be working abroad with a company and group to further your interest in a certain topic. If you're interested in neurology, working under a neurologist in a hospital somewhere other than on campus.","I would first look through different databases to get information over the question. This could help me find information over how to set up an experiment.

This experiment would be done repeatedly and the answers would be checked by other people, to ensure that the answers are accurate.","A primary source is one that is directly from an event. For example, interviews from people who were there during an earthquake or live footage of that earthquake would be a primary source.","A secondary source would not be directly from the event itself but instead describes the event. For example, a description of an earthquake from someone who was not there or paintings of how the earthquake was assumed to look like would be secondary sources.","Clear","Unconfident","Prepared","1-2","Time management, work-life balance, efficiency, and knowing when to put your foot down when it comes to your own mental health and well-being.","Somewhat agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"A discovery experience is when you go out and do something to learn more about a specific topic. This could be joining a new club or doing a lab in something different than what you're used to. Whether it be to narrow down your interests or learn about something new, it's meant to give you new perspectives on life."
"2022-09-27 15:18:44","2022-09-27 15:23:39","100","295","True","2022-09-27 15:23:40","R_2qgCbEmcQEDAqDK",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Using other sources and studies to gather information regarding a topic to help develop your understanding of the topic. It could also lead to formulation of new ideas and thougths. ","Google aspects of the question for background information. See if there is anything addressing the question directly, if not google search for studies or articles related to the question that allow you to formulate a complete understanding of the topic/question. ","First hand account of an event or something recording the event directly/","An account of what happened from someone not present. Gives information about a primary source. ","Clear","Confident","Prepared","1-2","time management, hard work, perseverance. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"an experience that teaches something new about a topic or yourself"
"2022-09-27 15:09:09","2022-09-27 15:25:00","100","950","True","2022-09-27 15:25:00","R_VI6H4QWoZYFqUSd",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Looking for answers, searching for knowledge, finding a conclusion or more questions. ","I would look for sources on this topic and then narrow them down by credibility. I would then look at these sources critically and analyze their biases. I would then look at these sources to gain knowledge on the topic.","An original source that was created at the time of the thing it is talking about. ","A second hand account of an event or primary source, from someone who didn't witness the original thing.","Clear","Confident","Unprepared","1-2","Curiosity, confidence, dedication, and willingness to learn. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"It means finding out new information in exciting ways that is invigorating and passionate and creative. "
"2022-09-27 15:18:41","2022-09-27 15:25:01","100","380","True","2022-09-27 15:25:02","R_STwnWJ7x3XfQCfn",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"innovation, questioning, new ideas, gaining knowledge, discovery","I would look into already established things about this topic, current studies and research happening, and still unknown things.","information given by someone who did something firsthand.","information given by someone who took a primary source and analyzed it and re-told.","Very Clear","Confident","Prepared","3-5","open mindedness, motivation to learn, willingness to admit when you're wrong or don't know something, focus, ability to compromise and collaborate with others. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"experiencing learning something new, and researching something you are interested in. "
"2022-09-27 15:18:56","2022-09-27 15:25:14","100","377","True","2022-09-27 15:25:14","R_3KTkfzhaKgrrjy5",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Diving deep into a subject or question. 
Synthesizing sources to come up with new information/new ideas/coming to a consensus","I would break down the specific topic or question into further specifics and then explore different databases/sources that addressed that topic","A primary source is one that is direct and gives information without referencing other information","A secondary source gives information while referencing other information. A secondary source analyzes a primary source. ","Unclear","Confident","Unprepared","3-5","Independence, a go getter-attitude, asking questions, being curious, seeking things out for yourself","Strongly agree","I think creativity is important to any education anywhere. You want to produce individual work not something that has been seen a bunch of times. ","Strongly agree","Discovery is unlocked by curiosity ","Strongly agree","Share with one another it's how you learn!","Discovery through learning. "
"2022-09-27 15:08:25","2022-09-27 15:26:11","100","1065","True","2022-09-27 15:26:12","R_28MY27giPyGpf6e",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"In depth questioning, for a question or idea. Gaining a larger understanding of a question, finding more than just the answer but looking at perspectives, opinions, different resources. ","I would take it to a search tool, such as google. I would search my initial question and find articles that have been peer reviewed, articles that are trustworthy and have a valid reputation. Soon after gain more questions and search more topics while simultaneously ensuring the articles I find are reliable. Be as specific as possible with my searches to find the best data. ","A source that comes from the first person, the thing that first published. ","From a different person, not directly. ","Clear","Unconfident","Unprepared","3-5","Research skills, time management skills, social skills. ","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"Experiences learning new ideas and anything, discovering. "
"2022-09-27 15:18:59","2022-09-27 15:26:52","100","473","True","2022-09-27 15:26:52","R_2DOG5Sr5EwWNHeb",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Research is something that is not widely understood by you or the majority of people around you. It is specific enough to not be a broad or well known fact. And it takes multiple sources and a collection of facts to gain an opinion or understanding. ","1. Write out all i know about the topic
2. look up questions I have unanswered about the topic through reliable website, sources, and articles. 
3. keep a well organized sheet of notes or new findings
4. reach conclusions that are validated by multiple sources
5. Ask in your community and in the real world, people you know 
6. conduct your own experiments if applicable 
7. Combine your findings into something that is easier to understand","A primary source is a source that has first hand connection to the topic or saw it in real time. ","Secondary source may use multiple findings of sources that are primary . ","Clear","Confident","Prepared","1-2","You should be able to find reliable sources to back up claims in papers or to form your opinions. ","Strongly agree","In architecture, I plan to use my creativity to design everything. ","Strongly agree","Self discovery is important in college","Strongly agree",NA,"It means meeting new people and learning new things, possibly forming new opinions and growing as an individual ."
"2022-09-27 15:19:30","2022-09-27 15:26:56","100","445","True","2022-09-27 15:26:56","R_3qHZISqqF4NaRMP",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word ""research"", I think of searching up a question online and finding answers to my question. ","First, I would write out as many questions as I could about the topic, then narrow down to which questions are the most important/are the best fit for the topic. Then, I would go to an academic database provided by my institution and look for articles that would answer/lead to answers to my question. ","A primary source is a direct source related to the topic, like a first-hand witness to an event, or the conductor of an experiment. ","A secondary source is someone writing about the direct source but was not initially there or is not directly associated with the topic, like someone who is simply just interested/passionate about the topic. ","Clear","Confident","Unprepared","1-2","I think critical thinking, time management skills, and communication are necessary to succeed in college. ","Strongly agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"The phrase ""discovery experience"" refers to one's personal experience when exploring their own discovery in a topic. "
"2022-09-27 15:18:36","2022-09-27 15:27:23","100","526","True","2022-09-27 15:27:23","R_1iefgo11DgB1VHU",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"When I think of research, I think of searching for informations either through forms of media or labs to form new conclusions. ","I would use resources provided both by the internet and by my school to reach a range of materials. I would also research the source of the information through those systems before using them though. When I am unable to find information regarding my question, I would either narrow or broaden my search based on the unsatisfying results I get.","A primary source is not research but a first hand, eye witness account of an event. ","A secondary source could be research and is a form of media that discusses information that originated from elsewhere. ","Clear","Unconfident","Unprepared","3-5","Some skill, strategies, or values, I think are necessary to succeed in college included having curiosity, time management, ability to find reliable evidence, communication skills, and prioritizing certain parts of life over others, including personal physical/mental health.","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"The phrase “Discovery experience” means being able to learn and experience a range of topics with support to possibly find ones that I would enjoy to me "
"2022-09-27 15:21:53","2022-09-27 15:27:43","100","350","True","2022-09-27 15:27:44","R_1oHZ63uXghdEDMb",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"I think of the process of asking a question and using multiple resources or tactics to answer it. ","I would first make sure I understand the question. Then, I would pick apart the question or topic and break it into a few subtopics or pieces to research individually. Then I would research each topic with the overarching topic/question in mind. ","A primary source is an original source that was created in the moment of study. ","A secondary source accounts for/observes an event but was not created in the moment of study. ","Clear","Confident","Unprepared","3-5","I think it's necessary to be able to identify and utilise a variety of resources and also ask for help when needed. I think one must be disciplined but also be reasonable in what one can handle, and be self-responsible to take a break when necessary. ","Strongly agree","My extracurriculars are almost exclusively performance arts related.","Strongly agree","I intend to research at Berkeley.","Strongly agree",NA,"I think Discovery experience is an experience in which we are exposed to new things with an open mind allowing us to learn and grow. "
"2022-09-27 15:08:33","2022-09-27 15:28:16","100","1183","True","2022-09-27 15:28:17","R_2zByCATTomfygKa",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word ""research"", I think about controlled experiments or an assessments of resources that seek to answer a question or test a hypothesis.","If I was assigned to research a specific topic or question, I would start by thinking about what factors are involved in answering the question, as in what related information I need to have on hand that will help me directly answer the question. Once I have those considerations listed, I would start going through various Google searches (as well as possibly fact-checking sources that I already haven't confirmed are credible) and begin taking notes on the sources on a separate document. Finally, I would review my notes/collected information and reach a conclusion in 1-2 sentences, as well as have evidence from my research to support my answer.","A primary source is the original source of information regarding a topic, or the original detailed account/transcription in association with an event (ex: the American Constitution).","A secondary source is an analysis, commentary, or synthesis based off of a primary source, not authored by the same person as the primary source (ex: an analysis of the Constitution).","Clear","Confident","Unprepared","1-2","Skills and strategies of asking for help and using Office Hours, and values that include integrity and hard work are very important to success in college.","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"To me, a ""discovery experience"" is one in which the individual can uncover new information about a question that they had in mind or something that they hadn't known about previously, through an endeavor that is either self-led or group-led. Discovery experiences may be science experiments, class projects, or others."
"2022-09-27 15:18:55","2022-09-27 15:28:31","100","576","True","2022-09-27 15:28:31","R_1rxLYP054b6N7fC",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Scientific method, theories, testing hypotheses, finding and evaluating causal relationships between variables, writing ","I'd start with a google search to get a very general idea of the topic. I'd probably read some articles and watch some videos on YouTube. Then I'd look up papers for the relevant topic on google scholar or JSTOR and try to understand the findings. ","Information from people/accounts with first hand experience with the topic","Information not from primary sources that still directly refer to or connect with the topic","Clear","Unconfident","Very Prepared","3-5","Time management, stress management, critical thinking, quantitative reasoning, clear communication, curiosity, resiliency, initiative","Strongly agree",NA,"Strongly agree","I'm not sure what I want to major in so I'll have to discover new interests, skills, and applications for both.","Strongly agree",NA,"A discovery experience is one where I experience/am exposed to something new or learn to see a familiar concept in a new light. "
"2022-09-27 15:19:55","2022-09-27 15:28:48","100","532","True","2022-09-27 15:28:48","R_28TjyXA7lrGoueQ",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word 'research,' I think of data filled documents with lots of time spent compiling information to prove or disprove a hypothesis. Research brings to mind the idea of collecting information from a wide variety of materials and authors to come to one's own conclusion. ","I would first begin by looking into the definitions and basic descriptions of the issues I am dealing with. For example, if my topic was on energy use in California, the first thing I would do would be to familiarize myself with what energy use is defined as and the ways in which it is seen in California. Then I would try to get more understanding on what exactly I am researching in the energy sector. For example, if I should look into the ways to improve it, etc. Then I would begin to familiarize myself with what I am researching specifically and the issue I am trying to solve. ","A primary source is one that is directly from the person or group involved. For example, if I experience something and then write about it myself then that would be considered a primary source. ","A secondary source is one where someone else write down the experiences of another. For example, if I told my friend about my day and they wrote it down, or someone wrote an article on it. ","Clear","Confident","Prepared","3-5","I think that a clear understanding of how to set up a research paper with accurate sources is a very important skill for college.","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"I think it means that we have to research everything possible and discover as much as we can about the world around us."
